"('Noise', 'Noise Lower than IQR')","(('nan',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Major Within Higher IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Banging/Pounding', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Lower IQR')","(('Noise - Residential',), 1.0)"
"('Population Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Higher IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Noise Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Population Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Noise Lower than IQR', 'Residential Building/House', 'VC Higher than IQR')","(('Noise - Residential',), 1.0)"
"('2014', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'Residential Building/House', 'VC Within Higher IQR')","(('Noise - Residential',), 1.0)"
"('Misd Within Higher IQR', 'Nonmajor Within Higher IQR', 'Residential Building/House')","(('Noise - Residential',), 1.0)"
"('Loud Music/Party', 'VC Within Lower IQR')","(('Noise - Residential',), 0.8281488757913119)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Lower than Median')","(('Noise - Residential',), 0.8058094446752527)"
"('Loud Music/Party', 'Noise Lower than IQR')","(('Noise - Residential',), 0.7970712270869602)"
"('Loud Music/Party', 'NGHBR: West Queens')","(('Noise - Residential',), 0.7906957297357565)"
"('Loud Music/Party', 'Noise Lower than IQR', 'Poverty Level Higher than Median')","(('Noise - Residential',), 0.786904066547161)"
"('2015', 'Loud Music/Party')","(('Noise - Residential',), 0.7627382968997876)"
"('nan',)","(('Noise', 'Noise Lower than IQR'), 0.7717932516112725)"
"('Noise Lower than IQR', 'nan')","(('Noise',), 0.9842385173247381)"
"('Noise Within Lower IQR', 'VC Within Lower IQR')","(('NGHBR: West Queens', 'Population Higher than IQR'), 1.0)"
"('Population Higher than IQR', 'VC Within Lower IQR')","(('NGHBR: West Queens', 'Noise Within Lower IQR'), 1.0)"
"('Noise Within Lower IQR', 'Population Higher than IQR', 'VC Within Lower IQR')","(('NGHBR: West Queens',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR')","(('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR'), 0.7460656808599085)"
"('102', 'Misd Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('102', 'Nonmajor Within Lower IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('102', 'Major Within Higher IQR', 'Misd Within Lower IQR')","(('NGHBR: Southwest Queens',), 1.0)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.9979875546140606)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.9820501801593335)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.9285386932041377)"
"('Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.8775291624950523)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR')","(('NGHBR: Southwest Queens',), 0.8454049931585205)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.8028298419698641)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.7515429697629791)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('NGHBR: Southwest Queens',), 0.7451852204099101)"
"('114', 'VC Higher than IQR')","(('NGHBR: Northwest Queens',), 0.9999012638230648)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential')","(('Misd Within Lower IQR', 'Residential Building/House'), 0.8786630320302335)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens')","(('Misd Within Lower IQR', 'Nonmajor Within Lower IQR'), 0.8164507603656688)"
"('NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Misd Within Lower IQR', 'Nonmajor Within Lower IQR'), 0.8164507603656688)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Residential Building/House')","(('Misd Within Lower IQR', 'Noise - Residential'), 0.880162596580507)"
"('102', 'Major Within Higher IQR')","(('Misd Within Lower IQR', 'NGHBR: Southwest Queens'), 1.0)"
"('102', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'NGHBR: Southwest Queens')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Misd Within Lower IQR',), 1.0)"
"('102', 'Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9584954604409858)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9584954604409858)"
"('NGHBR: Southwest Queens', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9290718038528897)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.9290718038528897)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House')","(('Misd Within Lower IQR',), 0.880162596580507)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.880162596580507)"
"('Major Within Higher IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.8529555845852385)"
"('NGHBR: Southwest Queens', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.8529555845852385)"
"('Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.7652825175786171)"
"('Major Within Higher IQR', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Misd Within Lower IQR',), 0.7201705739013529)"
"('Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR', 'Residential Building/House'), 0.9515683566778458)"
"('Major Within Lower IQR', 'VC Within Lower IQR')","(('Misd Lower than IQR', 'Nonmajor Lower than IQR'), 1.0)"
"('Noise - Residential', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR', 'Noise Lower than IQR'), 0.7803753437955023)"
"('Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR', 'Noise - Residential'), 0.9552115651198099)"
"('Major Lower than IQR', 'Noise Lower than IQR')","(('Misd Lower than IQR',), 1.0)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Misd Lower than IQR',), 1.0)"
"('Noise - Residential', 'Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Residential Building/House')","(('Misd Lower than IQR',), 0.9552115651198099)"
"('Noise Lower than IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.9472783797207557)"
"('Noise Lower than IQR', 'Nonmajor Lower than IQR', 'Population Lower than IQR')","(('Misd Lower than IQR',), 0.9309613855900561)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR')","(('Misd Lower than IQR',), 0.8928205605736103)"
"('Major Within Lower IQR', 'Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Misd Lower than IQR',), 0.886935105103385)"
"('Misd Lower than IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR', 'Nonmajor Lower than IQR'), 0.8242451303231568)"
"('Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR', 'Misd Lower than IQR'), 1.0)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'VC Within Lower IQR')","(('Major Within Lower IQR',), 1.0)"
"('Misd Lower than IQR', 'Nonmajor Lower than IQR', 'Poverty Level Lower than Median')","(('Major Within Lower IQR',), 0.8106056640318274)"
"('102', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'VC Within Higher IQR'), 1.0)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'VC Within Higher IQR'), 0.9492666264818164)"
"('Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('Major Within Higher IQR', 'VC Within Higher IQR'), 0.8831452381684554)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential')","(('Major Within Higher IQR', 'Residential Building/House'), 0.9980647431386348)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'Residential Building/House'), 0.864103893858853)"
"('Misd Within Lower IQR', 'Noise - Residential', 'VC Within Higher IQR')","(('Major Within Higher IQR', 'Residential Building/House'), 0.8032605837496714)"
"('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR', 'Poverty Level Lower than Median'), 0.7370361893135984)"
"('Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR', 'Population Lower than IQR'), 0.8299809259580371)"
"('102', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Major Within Higher IQR', 'Nonmajor Within Lower IQR'), 1.0)"
"('Nonmajor Within Lower IQR', 'Population Lower than IQR')","(('Major Within Higher IQR', 'Noise Lower than IQR', 'VC Within Higher IQR'), 0.8831452381684554)"
"('Nonmajor Within Lower IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR', 'Noise Lower than IQR'), 0.9498908513593967)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Residential Building/House')","(('Major Within Higher IQR', 'Noise - Residential'), 1.0)"
"('Loud Music/Party', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Major Within Higher IQR', 'Noise - Residential'), 0.8656189795874191)"
"('Misd Within Lower IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Major Within Higher IQR', 'Noise - Residential'), 0.8044239631336405)"
"('102', 'Misd Within Lower IQR')","(('Major Within Higher IQR', 'NGHBR: Southwest Queens'), 1.0)"
"('102',)","(('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens'), 1.0)"
"('102', 'NGHBR: Southwest Queens')","(('Major Within Higher IQR', 'Misd Within Lower IQR'), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Poverty Level Lower than Median')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median')","(('Major Within Higher IQR',), 1.0)"
"('102', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Major Within Higher IQR',), 1.0)"
"('102', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR')","(('Major Within Higher IQR',), 1.0)"
"('102', 'Misd Within Lower IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House')","(('Major Within Higher IQR',), 1.0)"
"('102', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens')","(('Major Within Higher IQR',), 1.0)"
"('Loud Music/Party', 'NGHBR: Southwest Queens', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('102', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise Lower than IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Noise Lower than IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('NGHBR: Southwest Queens', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 1.0)"
"('Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.9498908513593967)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.9492666264818164)"
"('Noise Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Major Within Higher IQR',), 0.9188319800124922)"
"('Noise - Residential', 'Noise Within Lower IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Major Within Higher IQR',), 0.9188319800124922)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Major Within Higher IQR',), 0.916468983513225)"
"('Noise Within Lower IQR', 'Nonmajor Within Lower IQR', 'Population Higher than IQR')","(('Major Within Higher IQR',), 0.8950874985702848)"
"('Nonmajor Within Lower IQR', 'Population Higher than IQR')","(('Major Within Higher IQR',), 0.8950874985702848)"
"('Loud Music/Party', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Major Within Higher IQR',), 0.8656189795874191)"
"('Noise - Residential', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Major Within Higher IQR',), 0.8470348731359341)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.8094515910629655)"
"('Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.8044239631336405)"
"('Misd Within Higher IQR', 'NGHBR: West Queens')","(('Major Within Higher IQR',), 0.8035550617969727)"
"('Misd Within Lower IQR', 'Noise Lower than IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.7897455312474648)"
"('Misd Within Lower IQR', 'Population Lower than IQR', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.7897455312474648)"
"('Misd Within Higher IQR', 'Noise Within Lower IQR')","(('Major Within Higher IQR',), 0.7865270338689477)"
"('Misd Within Lower IQR', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Major Within Higher IQR',), 0.7569373201551357)"
"('Loud Music/Party', 'Misd Within Lower IQR', 'Noise - Residential', 'Residential Building/House')","(('Major Within Higher IQR',), 0.755231837014752)"
"('Misd Within Higher IQR', 'Noise Lower than IQR', 'Nonmajor Within Higher IQR')","(('Major Higher than IQR',), 0.794745078659089)"
"('Noise Lower than IQR', 'Nonmajor Within Higher IQR', 'Poverty Level Higher than Median')","(('Major Higher than IQR',), 0.7837881873727087)"
"('Major Within Higher IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR')","(('Loud Music/Party', 'Residential Building/House'), 0.7799535799964893)"
"('Noise - Residential', 'Poverty Level Lower than Median', 'VC Within Higher IQR')","(('Loud Music/Party', 'Residential Building/House'), 0.7545114345114345)"
"('Noise - Residential', 'VC Within Higher IQR')","(('Loud Music/Party', 'Residential Building/House'), 0.7501182343667893)"
"('Major Within Higher IQR', 'Noise - Residential', 'Poverty Level Lower than Median')","(('Loud Music/Party', 'Residential Building/House'), 0.7236105787658107)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR')","(('Loud Music/Party', 'Residential Building/House'), 0.7192497837900633)"
"('Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party', 'Noise Lower than IQR'), 0.7542685220007521)"
"('Noise - Residential', 'Population Lower than IQR', 'Residential Building/House')","(('Loud Music/Party', 'Noise Lower than IQR'), 0.721092749084415)"
"('Major Within Higher IQR', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Loud Music/Party', 'Noise - Residential'), 0.7813861695683608)"
"('Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party', 'Noise - Residential'), 0.7518764320139053)"
"('Major Within Higher IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Loud Music/Party', 'Noise - Residential'), 0.7253481894150418)"
"('Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Loud Music/Party', 'Noise - Residential'), 0.721092749084415)"
"('Major Within Higher IQR', 'Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7996034257267013)"
"('Major Within Higher IQR', 'Noise - Residential', 'Nonmajor Within Lower IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7813861695683608)"
"('Major Within Higher IQR', 'Noise - Residential', 'Noise Lower than IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.760978344372236)"
"('Major Within Higher IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7568081518424169)"
"('Major Within Higher IQR', 'Noise - Residential', 'Residential Building/House')","(('Loud Music/Party',), 0.7568081518424169)"
"('Noise - Residential', 'Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7561463455287941)"
"('Poverty Level Lower than Median', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7561463455287941)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7542685220007521)"
"('Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7542685220007521)"
"('Noise - Residential', 'Residential Building/House', 'VC Within Higher IQR')","(('Loud Music/Party',), 0.7518764320139053)"
"('Noise - Residential', 'Nonmajor Within Lower IQR', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Loud Music/Party',), 0.7366257100078427)"
"('Major Within Higher IQR', 'Noise - Residential', 'Poverty Level Lower than Median', 'Residential Building/House')","(('Loud Music/Party',), 0.7253481894150418)"
"('Population Lower than IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.721092749084415)"
"('Noise - Residential', 'Noise Lower than IQR', 'Population Lower than IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.721092749084415)"
"('Noise Within Lower IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7102014673343426)"
"('Noise - Residential', 'Noise Within Lower IQR', 'Residential Building/House')","(('Loud Music/Party',), 0.7102014673343426)"
"('Noise - Residential', 'Noise Within Lower IQR')","(('Loud Music/Party',), 0.7099777412174586)"
"('Poverty Level Higher than Median', 'Residential Building/House')","(('Loud Music/Party',), 0.7053999583014803)"
"('Noise - Residential', 'Noise Lower than IQR', 'Poverty Level Higher than Median', 'Residential Building/House')","(('Loud Music/Party',), 0.7027061135449907)"
"('NGHBR: Northwest Queens', 'VC Higher than IQR')","(('114',), 1.0)"
"('Misd Within Lower IQR', 'NGHBR: Southwest Queens')","(('102', 'Major Within Higher IQR'), 0.7788218552957629)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens', 'Nonmajor Within Lower IQR', 'VC Within Higher IQR')","(('102',), 0.842261667860649)"
"('Major Within Higher IQR', 'Misd Within Lower IQR', 'NGHBR: Southwest Queens')","(('102',), 0.7788218552957629)"
